,epochs,pretrained_model,learning_rate,data_split
0,20,resnet,0.003,split_8
1,20,resnet,0.003,split_9
2,20,resnet,0.003,split_10
3,20,resnet,0.0035,split_8
4,20,resnet,0.0035,split_9
5,20,resnet,0.0035,split_10
6,20,vgg,0.003,split_8
7,20,vgg,0.003,split_9
8,20,vgg,0.003,split_10
9,20,vgg,0.0035,split_8
10,20,vgg,0.0035,split_9
11,20,vgg,0.0035,split_10
12,50,resnet,0.003,split_8
13,50,resnet,0.003,split_9
14,50,resnet,0.003,split_10
15,50,resnet,0.0035,split_8
16,50,resnet,0.0035,split_9
17,50,resnet,0.0035,split_10
18,50,vgg,0.003,split_8
19,50,vgg,0.003,split_9
20,50,vgg,0.003,split_10
21,50,vgg,0.0035,split_8
22,50,vgg,0.0035,split_9
23,50,vgg,0.0035,split_10
